"p","e","flux inf","flux hor","flux L inf","flux L hor"
127.02548581914458,0.0009247998800616108,2.528495525513448e-9,-4.4499377654017336e-13,3.620546497972892e-6,-6.371844254595422e-10
127.33744018344146,0.008289023880697022,2.5037170905199746e-9,-4.390871017573948e-13,3.598154769128218e-6,-6.309384618075732e-10
127.95475997577344,0.022836140246613956,2.4548264267608152e-9,-4.2787229119045336e-13,3.5527576411528815e-6,-6.186101642651889e-10
128.86425804533084,0.04420795069377237,2.3831900403096188e-9,-4.1242872934249426e-13,3.48338349914806e-6,-6.005367966953809e-10
130.0461685158365,0.07187821031999073,2.2909080111930123e-9,-3.941074095490559e-13,3.389150067270041e-6,-5.772400551265707e-10
131.47425809485807,0.1051655855009449,2.1807983933776243e-9,-3.742792927813099e-13,3.269793019958091e-6,-5.494247072457777e-10
133.11609693180645,0.14325043058521536,2.0562995734092877e-9,-3.5410370869447123e-13,3.126147959394953e-6,-5.179560631821103e-10
134.93354191801615,0.18519497029047305,1.921291872710668e-9,-3.343746462394215e-13,2.9604743605089885e-6,-4.83815740557012e-10
136.88345806499598,0.22996639084322837,1.7798707960721352e-9,-3.1547838050906883e-13,2.7765511117405906e-6,-4.480441390393723e-10
138.91867310273878,0.2764622712816465,1.6361142593209164e-9,-2.974555435675712e-13,2.5795282581537003e-6,-4.116805830483683e-10
140.98913420214822,0.32353772871835346,1.4938592619986057e-9,-2.801150784777296e-13,2.375563666523333e-6,-3.7570695424594073e-10
143.0432177298913,0.37003360915677164,1.3564654700944484e-9,-2.631215738588194e-13,2.171302671280467e-6,-3.40990193788467e-10
145.02913381899154,0.41480502970952693,1.2265785869804242e-9,-2.460330334517271e-13,1.9732863283295316e-6,-3.082228106999947e-10
146.8963657634833,0.4567495694147846,1.106065596242718e-9,-2.284056114721046e-13,1.7874309429887156e-6,-2.7789661177470457e-10
148.59708748247948,0.4948344144990551,9.963518816980646e-10,-2.1009609807948014e-13,1.6187526277188733e-6,-2.503696895301354e-10
150.08750833289386,0.5281217896800092,8.990682874952958e-10,-1.9162319956567399e-13,1.4714052879307164e-6,-2.2602242818095945e-10
151.32910173368845,0.5557920493062276,8.16494921169758e-10,-1.742281377792411e-13,1.3488850607735922e-6,-2.0538482250459317e-10
152.2896813925709,0.577163859753386,7.513924905239163e-10,-1.595063193827976e-13,1.25415871383934e-6,-1.8911747704465925e-10
152.9442959136042,0.5917109761193029,7.063859895812345e-10,-1.4889494739847645e-13,1.1896127362929686e-6,-1.7786700299436546e-10
153.27591906780825,0.5990752001199384,6.833965420869502e-10,-1.433618736587079e-13,1.1569148270467575e-6,-1.7211744257610558e-10
119.45095194831787,0.0009247998800616108,3.2311504661272894e-9,-6.235887387180592e-13,4.219146187458528e-6,-8.142634315284543e-10
119.74430446367647,0.008289023880697022,3.1994917040501577e-9,-6.153133208571506e-13,4.1930590421746065e-6,-8.062842632991903e-10
120.32481345661652,0.022836140246613956,3.137028525902278e-9,-5.996004444997934e-13,4.14017285003555e-6,-7.905350025904618e-10
121.18007812656212,0.04420795069377237,3.0455119312981556e-9,-5.779613816216387e-13,4.059360557980547e-6,-7.674465668901304e-10
122.29151123708448,0.07187821031999073,2.9276308194189917e-9,-5.52287939534687e-13,3.949600123768299e-6,-7.376854576414889e-10
123.63444378783633,0.1051655855009449,2.7869899845444517e-9,-5.245002884887441e-13,3.810588314634575e-6,-7.021519996862656e-10
125.17837972127913,0.14325043058521536,2.6279837311877566e-9,-4.962226805352813e-13,3.643300407234895e-6,-6.619514895784109e-10
126.88745040356362,0.18519497029047305,2.4555673322031157e-9,-4.685681361966948e-13,3.4503666924969495e-6,-6.1833770658962e-10
128.7210929869721,0.22996639084322837,2.274967562095297e-9,-4.4207887983110745e-13,3.2361836762102557e-6,-5.726393899827058e-10
130.63494808549967,0.2764622712816465,2.091386195184983e-9,-4.168131428435598e-13,3.006742101145613e-6,-5.26183880223054e-10
132.58194752188479,0.32353772871835346,1.9097158549094404e-9,-3.925048237542653e-13,2.7692052235760553e-6,-4.80225224773643e-10
134.51354598173725,0.37003360915677164,1.7342385088189995e-9,-3.6868626243602556e-13,2.531303704903193e-6,-4.3587096736329495e-10
136.38104182954098,0.41480502970952693,1.5683242568851438e-9,-3.4474126942991987e-13,2.3006475339278094e-6,-3.940063187602318e-10
138.13693067215803,0.4567495694147846,1.414351629008368e-9,-3.2005054666726063e-13,2.0841216281617017e-6,-3.5526039217968905e-10
139.73623829946771,0.4948344144990551,1.2741426660074875e-9,-2.9441308060756563e-13,1.8875685810237072e-6,-3.200911847129117e-10
