"p","e","flux inf","flux hor","flux L inf","flux L hor"
127.69497634058045,0.0009247998800616108,2.4777567072779707e-9,4.856365674964506e-15,3.5753551626221405e-6,7.007606527926183e-12
128.0083378781856,0.008289023880697022,2.4534873844317755e-9,4.776249655046307e-15,3.5532522606796575e-6,6.9143670919086534e-12
128.6273449523528,0.022836140246613956,2.405684031263915e-9,4.634193248008971e-15,3.5085153916809857e-6,6.737832996770242e-12
129.53675555454925,0.04420795069377237,2.3358212503756325e-9,4.461250705795376e-15,3.4403117752128653e-6,6.4958440749320365e-12
130.7141769775882,0.07187821031999073,2.246097302183903e-9,4.2926902750326635e-15,3.347908470339995e-6,6.2105479348969745e-12
132.13061719839675,0.1051655855009449,2.1393691342264805e-9,4.1589347686580165e-15,3.2311493442380808e-6,5.904165413783403e-12
133.751198757843,0.14325043058521536,2.019021412994911e-9,4.078872217478226e-15,3.0908933706193037e-6,5.595187148762235e-12
135.5360175595316,0.18519497029047305,1.888781444650585e-9,4.057050033561007e-15,2.929316445528141e-6,5.29591832869781e-12
137.4411254410909,0.22996639084322837,1.7525115065375023e-9,4.084709363919286e-15,2.7500112064716937e-6,5.0118612764757346e-12
139.41961232378637,0.2764622712816465,1.6140132327901369e-9,4.143239510342971e-15,2.5578680450465607e-6,4.742793166761896e-12
141.42276129434455,0.32353772871835346,1.4768476536098536e-9,4.207500475110651e-15,2.3587565438494887e-6,4.484668453016462e-12
143.40124817704003,0.37003360915677164,1.3441375060129476e-9,4.246579536453967e-15,2.159052928090172e-6,4.23097786867822e-12
145.30635605859933,0.41480502970952693,1.218356199948648e-9,4.224226571732277e-15,1.9650870190885866e-6,3.9734317722320895e-12
147.09117486028788,0.4567495694147846,1.101271301736035e-9,4.106810730109464e-15,1.7826433067155515e-6,3.7037831272376144e-12
148.71175641973414,0.4948344144990551,9.942760445838482e-10,3.8816330224950355e-15,1.6166883375773134e-6,3.4189873577320944e-12
150.12819664054268,0.5281217896800092,8.990262793719532e-10,3.571915180835088e-15,1.4713970296935969e-6,3.12740287292605e-12
151.30561806358168,0.5557920493062276,8.178747433334711e-10,3.2314705923446113e-15,1.3503375223904682e-6,2.84978860203028e-12
152.21502866577814,0.577163859753386,7.536884317887929e-10,2.922160661996802e-15,1.2565762700600323e-6,2.6130798848989055e-12
152.83403573994528,0.5917109761193029,7.092088324176373e-10,2.6928823140557766e-15,1.1926026703671223e-6,2.4416681805120713e-12
153.14739727755045,0.5990752001199384,6.864551009047746e-10,2.572297137526461e-15,1.1601677836404558e-6,2.3520644206756166e-12
120.72592509749799,0.0009247998800616108,3.0995409492191743e-9,7.196801701177645e-15,4.1114782972318785e-6,9.546363353438365e-12
121.02218468892042,0.008289023880697022,3.0691854165410873e-9,7.078066595455755e-15,4.086066310806271e-6,9.419335375428101e-12
121.60740897739525,0.022836140246613956,3.009397000573467e-9,6.867533993778206e-15,4.034634616541578e-6,9.178840498818662e-12
122.46718779869217,0.04420795069377237,2.922025054340087e-9,6.6112294649322755e-15,3.956230627458279e-6,8.849205093827884e-12
123.58035054478853,0.07187821031999073,2.8098244868103155e-9,6.3614242027975484e-15,3.850017188941476e-6,8.460625159072572e-12
124.9194874545001,0.1051655855009449,2.676372807851882e-9,6.163210935980183e-15,3.715819366591222e-6,8.043390506622821e-12
126.45162453276917,0.14325043058521536,2.525904840037533e-9,6.0445956607470075e-15,3.5546267370941847e-6,7.622704581112637e-12
128.13903547985734,0.18519497029047305,2.363080464746909e-9,6.0123317998030625e-15,3.3689392812941095e-6,7.215322480340055e-12
129.94017063805143,0.22996639084322837,2.1927251649216995e-9,6.053458190771346e-15,3.1628821391068557e-6,6.828727999306054e-12
131.8106800821318,0.2764622712816465,2.019586131792222e-9,6.140411754734778e-15,2.942069404672189e-6,6.462591821097211e-12
133.7045056617203,0.32353772871835346,1.8481082561002808e-9,6.2359429425806216e-15,2.713239277646425e-6,6.111357566255866e-12
135.57501510580067,0.37003360915677164,1.6821874115269109e-9,6.294278004089359e-15,2.4837118142690235e-6,5.766169186819545e-12
137.37615026399476,0.41480502970952693,1.524907510792936e-9,6.2617070370523876e-15,2.2607542983463234e-6,5.415700432950723e-12
139.0635612110829,0.4567495694147846,1.3784726216605773e-9,6.0883478465521785e-15,2.051009527382694e-6,5.048685110514836e-12
140.595698289352,0.4948344144990551,1.2446255446594578e-9,5.755284978469239e-15,1.86018569226377e-6,4.660953471654911e-12
141.93483519906354,0.5281217896800092,1.1254458637247085e-9,5.296799675343283e-15,1.6930892721015232e-6,4.263864961626246e-12
143.04799794515992,0.5557920493062276,1.0238896745817706e-9,4.7925724438244056e-15,1.5538363795677554e-6,3.885702886988752e-12
143.90777676645683,0.577163859753386,9.435560141039888e-10,4.3342943716430904e-15,1.4459690578143878e-6,3.56318847783341e-12
144.49300105493165,0.5917109761193029,8.878834162311288e-10,3.994513654630837e-15,1.3723638066921792e-6,3.329603855175315e-12
144.7892606463541,0.5990752001199384,8.594030644859013e-10,3.8157864633194875e-15,1.3350436532939628e-6,3.2074873961920783e-12
108.48602531727533,0.0009247998800616108,4.747757368192686e-9,1.5225636873042835e-14,5.364744256998076e-6,1.7204172108798265e-11
108.75224838004816,0.008289023880697022,4.701272576845179e-9,1.497439979895481e-14,5.331599909945851e-6,1.697520955021523e-11
109.27813921024467,0.022836140246613956,4.609725336442423e-9,1.4528926939450744e-14,5.264526252522586e-6,1.6541773918109124e-11
110.05074863029381,0.04420795069377237,4.475963503514459e-9,1.398661934835917e-14,5.162294028937293e-6,1.594779958059472e-11
